,#,FORM,LEMMA,GRAM,COMMENT,CHECKED,RIGHT1,RIGHT2,RIGHT3,RIGHT4,RIGHT5,RIGHT6,POS,AUTO_LEMMA,AUTO_GRAM
46044,12,танцуют,ТАНЦЕВАТЬ,V ipf praes pl indic m 3p,,V ipf praes pl indic - 3p,8,сент-соч,_,_,,,V,ТАНЦЕВАТЬ,V ipf praes pl indic - 3p
46045,13,балет,БАЛЕТ,S m inan acc sg,,S m inan acc sg,12,1-компл,_,_,,,S,БАЛЕТ,S m inan acc sg
46046,14,.,.,SENT,,SENT,13,PUNC,_,_,,,SENT,.,SENT
46047,,,,,,,,,,,,,,,
46048,1,И,И,CONJ,,CONJ,0,ROOT,_,_,,,CONJ,И,CONJ
46049,2,он,ОН,SPRO sg 3p m nom,,SPRO sg 3p m nom,6,предик,_,_,,,SPRO,ОН,SPRO sg 3p m nom
46050,3,",",",",",",,PUNC,2,PUNC,_,_,,,",",",",","
46051,4,походу,ПОХОДУ,PARENTH,,S m inan dat sg,2,оп-опред,_,_,,,S,ПОХОД,S m inan dat sg
46052,5,",",",",",",,PUNC,4,PUNC,_,_,,,",",",",","
46053,6,вошёл,ВОЙТИ,V pf praet sg indic m 3p,,V pf praet sg indic m -,1,соч-союзн,_,_,,,V,ВОЙТИ,V pf praet sg indic m -
46054,7,в,В,PR,,PR,6,2-компл,_,_,,,PR,В,PR
46055,8,ярость,ЯРОСТЬ,S f inan acc sg,,S f inan acc sg,7,предл,_,_,,,S,ЯРОСТЬ,S f inan acc sg
46056,9,и,И,CONJ,,CONJ,6,сочин,_,_,,,CONJ,И,CONJ
46057,10,начал,НАЧИНАТЬ,V pf praet sg indic m 3p,,S n inan gen pl,9,соч-союзн,_,_,,,S,НАЧАЛО,S n inan gen pl
46058,11,резать,РЕЗАТЬ,V ipf - - inf - -,,V ipf - - inf - -,6,1-компл,_,_,,,V,РЕЗАТЬ,V ipf - - inf - -
46059,12,ткань,ТКАНЬ,S f inan acc sg,,S f inan acc sg,11,1-компл,_,_,,,S,ТКАНЬ,S f inan acc sg
46060,13,;,;,SENT,,SENT,12,PUNC,_,_,,,SENT,;,SENT
46061,,,,,,,,,,,,,,,
46062,1,вместо,ВМЕСТО,PR,,PR,4,обст,_,_,,,PR,ВМЕСТО,PR
46063,2,себя,СЕБЯ,SPRO m anim gen acc,,SPRO - - - acc,1,предл,_,_,,,SPRO,СЕБЯ,SPRO - - - acc
46064,3,",",",",",",,PUNC,2,PUNC,_,_,,,",",",",","
46065,4,походу,ПОХОДУ,PART,,S m inan dat sg,0,ROOT,_,_,,,S,ПОХОД,S m inan dat sg
46066,5,.,.,SENT,,SENT,4,PUNC,_,_,,,SENT,.,SENT
46067,,,,,,,,,,,,,,,
46068,1,Не,НЕ,PART,,PART,2,огранич,_,_,,,PART,НЕ,PART
46069,2,знаю,ЗНАТЬ,V ipf praes sg indic - 1p,,V ipf praes sg indic - 1p,0,ROOT,_,_,,,V,ЗНАТЬ,V ipf praes sg indic - 1p
46070,3,.,.,SENT,,SENT,2,PUNC,_,_,,,SENT,.,SENT
46071,,,,,,,,,,,,,,,
46072,1,Студентка,СТУДЕНТКА,NONLEX,,S f anim nom sg,0,ROOT,_,_,,,S,СТУДЕНТКА,S f anim nom sg
46073,2,@,@,@,,PUNC,1,аппоз,_,_,,,@,@,@
46074,3,Что,ЧТО,SPRO sg 3p n nom,,CONJ,1,сочин,_,_,,,CONJ,ЧТО,CONJ
46075,4,происходит,ПРОИСХОДИТЬ,V ipf praes sg indic n 3p,,V ipf praes sg indic - 3p,3,подч-союзн,_,_,,,V,ПРОИСХОДИТЬ,V ipf praes sg indic - 3p
46076,5,в,В,PR,,PR,4,обст,_,_,,,PR,В,PR
46077,6,данный,ДАННЫЙ,A - acc sg plen m inan,,A - acc sg plen m inan,7,опред,_,_,,,A,ДАННЫЙ,A - acc sg plen m inan
46078,7,момент,МОМЕНТ,S m inan acc sg,,S m inan acc sg,5,предл,_,_,,,S,МОМЕНТ,S m inan acc sg
46079,8,?,?,SENT,,SENT,7,PUNC,_,_,,,SENT,?,SENT
46080,,,,,,,,,,,,,,,
46081,1,SViBLASH,SVIBLASH,NONLEX,,NONLEX,37,предик,_,_,,,NONLEX,SVIBLASH,NONLEX
46082,2,@,@,@,,PUNC,6,1-компл,_,_,,,@,@,@
46083,3,Ну,НУ,PART,,PART,2,огранич,_,_,,,PART,НУ,PART
46084,4,",",",",",",,PUNC,3,PUNC,_,_,,,",",",",","
46085,5,он,ОН,SPRO sg 3p m nom,,SPRO sg 3p m nom,6,предик,_,_,,,SPRO,ОН,SPRO sg 3p m nom
46086,6,вырезает,ВЫРЕЗАТЬ,V ipf praes sg indic - 3p,,V ipf praes sg indic - 3p,1,примыкат,_,_,,,V,ВЫРЕЗАТЬ,V ipf praes sg indic - 3p
46087,7,какой-то,КАКОЙ-ТО,A - acc sg plen m 3p,,A - nom sg plen m -,8,опред,_,_,,,A,КАКОЙ-ТО,A - nom sg plen m -
46088,8,костюм,КОСТЮМ,S m inan acc sg,,S m inan nom sg,6,предик,_,_,,,S,КОСТЮМ,S m inan nom sg
46089,9,",",",",",",,PUNC,8,PUNC,_,_,,,",",",",","
46090,10,там,ТАМ,PART,,ADV -,12,вводн,_,_,,,ADV,ТАМ,ADV -
46091,11,",",",",",",,PUNC,10,PUNC,_,_,,,",",",",","
46092,12,<,<,<,,PUNC,8,опред,_,_,,,<,<,<
46093,13,distinct,DISTINCT,NONLEX,,NONLEX,12,1-компл,_,_,,,NONLEX,DISTINCT,NONLEX
46094,14,form,FORM,NONLEX,,NONLEX,13,аппоз,_,_,,,NONLEX,FORM,NONLEX
46095,15,#ERROR!,#ERROR!,#ERROR!,,PUNC,12,2-компл,_,_,,,#ERROR!,#ERROR!,#ERROR!
46096,16,	,_,PUNC,,17,PUNC,_,_,,,,_,_,PUNC
46097,17,сес,СЕСТРА,distort,,S m anim nom sg,15,аппоз,_,_,,,S,СЕС,S m anim nom sg
46098,18,	,_,PUNC,,17,PUNC,_,_,,,,_,_,PUNC
46099,19,>,>,>,,PUNC,12,1-компл,_,_,,,>,>,>
46100,20,сестре,СЕСТРА,S f anim dat sg,,S f anim dat sg,19,аппоз,_,_,,,S,СЕСТРА,S f anim dat sg
46101,21,<,<,<,,PUNC,22,опред,_,_,,,<,<,<
46102,22,/,/,/,,PUNC,24,атриб,_,_,,,/,/,/
46103,23,distinct,DISTINCT,NONLEX,,NONLEX,22,аппоз,_,_,,,NONLEX,DISTINCT,NONLEX
46104,24,>...,>...,>,,PUNC,37,1-компл,_,_,,,>,>...,>
46105,25,хотя,ХОТЯ,CONJ,,CONJ,24,обст,_,_,,,CONJ,ХОТЯ,CONJ
46106,26,сам,САМ,APRO - nom sg plen m 3p,,A - nom sg plen m -,31,суб-копр,_,_,,,A,САМ,A - nom sg plen m -
46107,27,он,ОН,SPRO sg 3p m nom,,SPRO sg 3p m nom,31,предик,_,_,,,SPRO,ОН,SPRO sg 3p m nom
46108,28,просто,ПРОСТО,PART,,PART,31,огранич,_,_,,,PART,ПРОСТО,PART
46109,29,",",",",",",,PUNC,28,PUNC,_,_,,,",",",",","
46110,30,не,НЕ,PART,,PART,31,огранич,_,_,,,PART,НЕ,PART
46111,31,знаю,ЗНАТЬ,V ipf praes sg indic - 1p,,V ipf praes sg indic - 1p,25,подч-союзн,_,_,,,V,ЗНАТЬ,V ipf praes sg indic - 1p
46112,32,",",",",",",,PUNC,31,PUNC,_,_,,,",",",",","
46113,33,страшный,СТРАШНЫЙ,A - nom sg plen m 3p,,A - nom sg plen m -,37,предик,_,_,,,A,СТРАШНЫЙ,A - nom sg plen m -
46114,34,",",",",",",,PUNC,33,PUNC,_,_,,,",",",",","
46115,35,просто,ПРОСТО,PART,,PART,37,огранич,_,_,,,PART,ПРОСТО,PART
46116,36,не,НЕ,PART,,PART,37,огранич,_,_,,,PART,НЕ,PART
46117,37,знаю,ЗНАТЬ,V ipf praes sg indic - 1p,,V ipf praes sg indic - 1p,0,ROOT,_,_,,,V,ЗНАТЬ,V ipf praes sg indic - 1p
46118,38,",",",",",",,PUNC,37,PUNC,_,_,,,",",",",","
46119,39,как,КАК,CONJ,,CONJ,37,1-компл,_,_,,,CONJ,КАК,CONJ
46120,40,его,ОН,SPRO sg 3p m acc,,SPRO sg 3p m acc,41,1-компл,_,_,,,SPRO,ОН,SPRO sg 3p m acc
46121,41,назвать,НАЗВАТЬ,V pf - - inf - -,,V pf - - inf - -,39,сравн-союзн,_,_,,,V,НАЗВАТЬ,V pf - - inf - -
46122,42,.,.,SENT,,SENT,41,PUNC,_,_,,,SENT,.,SENT
46123,,,,,,,,,,,,,,,
46124,1,Но,НО,CONJ,,CONJ,0,ROOT,_,_,,,CONJ,НО,CONJ
46125,2,он,ОН,SPRO sg 3p m nom,,SPRO sg 3p m nom,3,предик,_,_,,,SPRO,ОН,SPRO sg 3p m nom
46126,3,создаёт,СОЗДАВАТЬ,V ipf praes sg indic m 3p,,V ipf praes sg indic - 3p,1,соч-союзн,_,_,,,V,СОЗДАВАТЬ,V ipf praes sg indic - 3p
46127,4,",",",",",",,PUNC,3,PUNC,_,_,,,",",",",","
46128,5,походу,ПОХОДУ,PART,,S m inan dat sg,3,1-компл,_,_,,,S,ПОХОД,S m inan dat sg
46129,6,",",",",",",,PUNC,5,PUNC,_,_,,,",",",",","
46130,7,с...,С...,nonflex,,PR,3,2-компл,_,_,,,PR,С...,PR
46131,8,куклу,КУКЛА,S f inan acc sg,,S f inan acc sg,7,предл,_,_,,,S,КУКЛА,S f inan acc sg
46132,9,-,-,-,,PUNC,8,PUNC,_,_,,,-,-,-
46133,10,версию,ВЕРСИЯ,S f inan acc sg,,S f inan acc sg,3,1-компл,_,_,,,S,ВЕРСИЯ,S f inan acc sg
46134,11,самого,САМ,APRO - gen sg plen m 3p,,A - gen sg plen m -,12,опред,_,_,,,A,САМ,A - gen sg plen m -
46135,12,себя,СЕБЯ,SPRO m anim gen acc,,SPRO - - - acc,10,1-компл,_,_,,,SPRO,СЕБЯ,SPRO - - - acc
46136,13,как бы,как бы,PART,,-,3,обст,_,_,,,ADV,как бы,ADV -
46137,14,.,.,SENT,,SENT,13,PUNC,_,_,,,SENT,.,SENT
46138,,,,,,,,,,,,,,,
46139,1,Он,ОН,SPRO sg 3p m nom,,SPRO sg 3p m nom,3,предик,_,_,,,SPRO,ОН,SPRO sg 3p m nom
46140,2,как бы,как бы,PART,,-,3,огранич,_,_,,,ADV,как бы,ADV -
46141,3,жук,ЖУК,S m anim nom sg,,S m anim nom sg,0,ROOT,_,_,,,S,ЖУК,S m anim nom sg
46142,4,",",",",",",,PUNC,3,PUNC,_,_,,,",",",",","
46143,5,да,ДА,PART,,PART,6,огранич,_,_,,,PART,ДА,PART
46144,6,?,?,?,,PUNC,3,сент-соч,_,_,,,?,?,?
46145,7,но,НО,CONJ,,CONJ,6,сент-соч,_,_,,,CONJ,НО,CONJ
46146,8,он,ОН,SPRO sg 3p m nom,,SPRO sg 3p m nom,10,предик,_,_,,,SPRO,ОН,SPRO sg 3p m nom
46147,9,как бы,как бы,PART,,-,10,обст,_,_,,,ADV,как бы,ADV -
46148,10,сделан,СДЕЛАТЬ,PARTCP pf praet - sg brev m pass 3p,,PARTCP pf praet - sg brev m pass -,7,соч-союзн,_,_,,,PARTCP,СДЕЛАТЬ,PARTCP pf praet - sg brev m pass -
46149,11,из,ИЗ,PR,,PR,10,2-компл,_,_,,,PR,ИЗ,PR
46150,12,ткани,ТКАНЬ,S f inan gen sg,,S f inan gen sg,11,предл,_,_,,,S,ТКАНЬ,S f inan gen sg
46151,13,;,;,SENT,,SENT,12,PUNC,_,_,,,SENT,;,SENT
46152,,,,,,,,,,,,,,,
46153,1,и,И,CONJ,,CONJ,0,ROOT,_,_,,,CONJ,И,CONJ
46154,2,на,НА,PR,,PR,6,обст,_,_,,,PR,НА,PR
46155,3,нём,ОН,SPRO sg 3p m loc,,SPRO sg 3p m loc,2,предл,_,_,,,SPRO,ОН,SPRO sg 3p m loc
46156,4,ещё,ЕЩЕ,PART,,ADV -,5,огранич,_,_,,,ADV,ЕЩЕ,ADV -
46157,5,прикольная,ПРИКОЛЬНЫЙ,A - nom sg plen f 3p,,A - nom sg plen f -,6,опред,_,_,,,A,ПРИКОЛЬНЫЙ,A - nom sg plen f -
46158,6,маска,МАСКА,S f inan nom sg,,S f inan nom sg,1,соч-союзн,_,_,,,S,МАСКА,S f inan nom sg
46159,7,;,;,SENT,,SENT,6,PUNC,_,_,,,SENT,;,SENT
46160,,,,,,,,,,,,,,,
46161,1,и,И,CONJ,,CONJ,0,ROOT,_,_,,,CONJ,И,CONJ
46162,2,он,ОН,SPRO sg 3p m nom,,SPRO sg 3p m nom,3,предик,_,_,,,SPRO,ОН,SPRO sg 3p m nom
46163,3,делает,ДЕЛАТЬ,V ipf praes sg indic m 3p,,V ipf praes sg indic - 3p,1,соч-союзн,_,_,,,V,ДЕЛАТЬ,V ipf praes sg indic - 3p
46164,4,такого,ТАКОЙ,APRO - acc sg plen m anim,,A - acc sg plen m anim,6,опред,_,_,,,A,ТАКОЙ,A - acc sg plen m anim
46165,5,же,ЖЕ,PART,,PART,4,огранич,_,_,,,PART,ЖЕ,PART
46166,6,жука,ЖУК,S m anim acc sg,,S m anim acc sg,3,1-компл,_,_,,,S,ЖУК,S m anim acc sg
46167,7,как,КАК,CONJ,,CONJ,3,сравнит,_,_,,,CONJ,КАК,CONJ
46168,8,и,И,CONJ,,CONJ,7,сравн-союзн,_,_,,,CONJ,И,CONJ
46169,9,он,ОН,SPRO sg 3p m nom,,SPRO sg 3p m nom,0,ROOT,_,_,,,SPRO,ОН,SPRO sg 3p m nom
46170,10,",",",",",",,PUNC,9,PUNC,_,_,,,",",",",","
46171,11,только,ТОЛЬКО,PART,,PART,12,огранич,_,_,,,PART,ТОЛЬКО,PART
46172,12,розового,РОЗОВЫЙ,A - acc sg plen m 3p,,A - gen sg plen n -,9,оп-опред,_,_,,,A,РОЗОВЫЙ,A - gen sg plen n -
46173,13,.,.,SENT,,SENT,12,PUNC,_,_,,,SENT,.,SENT
46174,,,,,,,,,,,,,,,
46175,1,SViBLASH,SVIBLASH,NONLEX,,NONLEX,3,предик,_,_,,,NONLEX,SVIBLASH,NONLEX
46176,2,@,@,@,,PUNC,3,опред,_,_,,,@,@,@
46177,3,Время,ВРЕМЯ,S n inan nom sg,,S n inan nom sg,10,предик,_,_,,,S,ВРЕМЯ,S n inan nom sg
46178,4,у,У,PR,,PR,10,обст,_,_,,,PR,У,PR
46179,5,него,ОН,SPRO sg 3p m gen,,SPRO sg 3p m acc,4,предл,_,_,,,SPRO,ОН,SPRO sg 3p m acc
46180,6,",",",",",",,PUNC,5,PUNC,_,_,,,",",",",","
46181,7,кстати,КСТАТИ,PARENTH,,ADV -,10,вводн,_,_,,,ADV,КСТАТИ,ADV -
46182,8,",",",",",",,PUNC,7,PUNC,_,_,,,",",",",","
46183,9,почти,ПОЧТИ,ADV -,,ADV -,10,огранич,_,_,,,ADV,ПОЧТИ,ADV -
46184,10,вышло,ВЫЙТИ,V pf praet sg indic n 3p,,V pf praet sg indic n -,0,ROOT,_,_,,,V,ВЫЙТИ,V pf praet sg indic n -
46185,11,на,НА,PR,,PR,10,обст,_,_,,,PR,НА,PR
46186,12,часах,ЧАСЫ,S - inan loc pl,,S - inan loc pl,11,предл,_,_,,,S,ЧАСЫ,S - inan loc pl
46187,13,",",",",",",,PUNC,12,PUNC,_,_,,,",",",",","
46188,14,которые,КОТОРЫЙ,APRO - acc pl plen - 3p,,A - nom pl plen - -,19,1-компл,_,_,,,A,КОТОРЫЙ,A - nom pl plen - -
46189,15,он,ОН,SPRO sg 3p m nom,,SPRO sg 3p m nom,19,предик,_,_,,,SPRO,ОН,SPRO sg 3p m nom
46190,16,в,В,PR,,PR,19,обст,_,_,,,PR,В,PR
46191,17,самом,САМЫЙ,APRO - loc sg plen n 3p,,A - loc sg plen n -,18,опред,_,_,,,A,САМЫЙ,A - loc sg plen n -
46192,18,начале,НАЧАЛО,S n inan loc sg,,S n inan loc sg,16,предл,_,_,,,S,НАЧАЛО,S n inan loc sg
46193,19,перевернул,ПЕРЕВЕРНУТЬ,V pf praet sg indic m 3p,,V pf praet sg indic m -,10,1-компл,_,_,,,V,ПЕРЕВЕРНУТЬ,V pf praet sg indic m -
46194,20,.,.,SENT,,SENT,19,PUNC,_,_,,,SENT,.,SENT
46195,,,,,,,,,,,,,,,
46196,1,Иии,И,PART,,S m inan loc sg,0,ROOT,_,_,,,S,ИИИ,S m inan loc sg
46197,2,...,...,SENT,,SENT,1,PUNC,_,_,,,SENT,...,SENT
46198,,,,,,,,,,,,,,,
46199,1,Он,ОН,SPRO sg 3p m nom,,SPRO sg 3p m nom,2,предик,_,_,,,SPRO,ОН,SPRO sg 3p m nom
46200,2,думает,ДУМАТЬ,V ipf praes sg indic m 3p,,V ipf praes sg indic - 3p,0,ROOT,_,_,,,V,ДУМАТЬ,V ipf praes sg indic - 3p
46201,3,",",",",",",,PUNC,2,PUNC,_,_,,,",",",",","
46202,4,что,ЧТО,SPRO sg 3p n acc,,CONJ,2,1-компл,_,_,,,CONJ,ЧТО,CONJ
46203,5,делать,ДЕЛАТЬ,V ipf - - inf - -,,V ipf - - inf - -,0,ROOT,_,_,,,V,ДЕЛАТЬ,V ipf - - inf - -
46204,6,с,С,PR,,PR,5,1-компл,_,_,,,PR,С,PR
46205,7,его,ЕГО,APRO - ins sg plen n 3p,,A - nonflex nonflex plen - -,8,квазиагент,_,_,,,A,ЕГО,A - nonflex nonflex plen - -
46206,8,телом,ТЕЛО,S n inan ins sg,,S n inan ins sg,6,предл,_,_,,,S,ТЕЛО,S n inan ins sg
46207,9,",",",",",",,PUNC,8,PUNC,_,_,,,",",",",","
46208,10,потому что,потому что,CONJ,,ZERO,5,обст,_,_,,,CONJ,потому что,CONJ
46209,11,оно,ОНО,SPRO sg 3p n nom,,SPRO sg 3p n nom,13,предик,_,_,,,SPRO,ОНО,SPRO sg 3p n nom
46210,12,не,НЕ,PART,,PART,13,огранич,_,_,,,PART,НЕ,PART
46211,13,оживает,ОЖИВАТЬ,V ipf praes sg indic n 3p,,V ipf praes sg indic - 3p,10,подч-союзн,_,_,,,V,ОЖИВАТЬ,V ipf praes sg indic - 3p
46212,14,.,.,SENT,,SENT,13,PUNC,_,_,,,SENT,.,SENT
46213,,,,,,,,,,,,,,,
46214,1,А,А,CONJ,,CONJ,0,ROOT,_,_,,,CONJ,А,CONJ
46215,2,должно,ДОЛЖНО,PRAEDIC,,ADV -,4,вводн,_,_,,,ADV,ДОЛЖНО,ADV -
46216,3,",",",",",",,PUNC,2,PUNC,_,_,,,",",",",","
46217,4,по,ПО,PR,,PR,1,соч-союзн,_,_,,,PR,ПО,PR
46218,5,идее,ИДЕЯ,S f inan dat sg,,S f inan dat sg,4,предл,_,_,,,S,ИДЕЯ,S f inan dat sg
46219,6,.,.,SENT,,SENT,5,PUNC,_,_,,,SENT,.,SENT
46220,,,,,,,,,,,,,,,
46221,1,Он,ОН,SPRO sg 3p m nom,,SPRO sg 3p m nom,2,предик,_,_,,,SPRO,ОН,SPRO sg 3p m nom
46222,2,пытается,ПЫТАТЬСЯ,V ipf praes sg indic m 3p,,V ipf praes sg indic - 3p,0,ROOT,_,_,,,V,ПЫТАТЬСЯ,V ipf praes sg indic - 3p
46223,3,его,ОН,SPRO sg 3p m acc,,SPRO sg 3p m acc,2,1-компл,_,_,,,SPRO,ОН,SPRO sg 3p m acc
46224,4,как-то,КАК-ТО,ADVPRO,,ADV -,6,обст,_,_,,,ADV,КАК-ТО,ADV -
46225,5,там,ТАМ,ADVPRO,,ADV -,6,обст,_,_,,,ADV,ТАМ,ADV -
46226,6,расшевелить,РАСШЕВЕЛИТЬ,V pf - - inf - -,,V pf - - inf - -,2,разъяснит,_,_,,,V,РАСШЕВЕЛИТЬ,V pf - - inf - -
46227,7,что,ЧТО,PART,,CONJ,6,1-компл,_,_,,,CONJ,ЧТО,CONJ
46228,8,ли,ЛИ,PART,,PART,7,огранич,_,_,,,PART,ЛИ,PART
46229,9,.,.,SENT,,SENT,8,PUNC,_,_,,,SENT,.,SENT
46230,,,,,,,,,,,,,,,
46231,1,Он,ОН,SPRO sg 3p m nom,,SPRO sg 3p m nom,6,предик,_,_,,,SPRO,ОН,SPRO sg 3p m nom
46232,2,его,ОН,SPRO sg 3p m acc,,SPRO sg 3p m acc,6,1-компл,_,_,,,SPRO,ОН,SPRO sg 3p m acc
46233,3,на,НА,PR,,PR,6,обст,_,_,,,PR,НА,PR
46234,4,какую-то,КАКОЙ-ТО,APRO - acc sg plen f inan,,A - acc sg plen f inan,3,предл,_,_,,,A,КАКОЙ-ТО,A - acc sg plen f inan
46235,5,коробку,КОРОБКА,S f inan acc sg,,S f inan acc sg,6,1-компл,_,_,,,S,КОРОБКА,S f inan acc sg
46236,6,опустил,ОПУСТИТЬ,V pf praet sg indic m 3p,,V pf praet sg indic m -,0,ROOT,_,_,,,V,ОПУСТИТЬ,V pf praet sg indic m -
46237,7,",",",",",",,PUNC,6,PUNC,_,_,,,",",",",","
46238,8,покрутил,ПОКРУТИТЬ,V pf praet sg indic m 3p,,V pf praet sg indic m -,6,сочин,_,_,,,V,ПОКРУТИТЬ,V pf praet sg indic m -
46239,9,какую-то,КАКОЙ-ТО,APRO - acc sg plen f inan,,A - acc sg plen f inan,10,опред,_,_,,,A,КАКОЙ-ТО,A - acc sg plen f inan
46240,10,хрень,ХРЕНЬ,S f inan acc sg,,S f inan acc sg,8,1-компл,_,_,,,S,ХРЕНЬ,S f inan acc sg
46241,11,-,-,-,,PUNC,10,PUNC,_,_,,,-,-,-
46242,12,я,Я,SPRO sg 1p - nom,,SPRO sg 1p - nom,14,предик,_,_,,,SPRO,Я,SPRO sg 1p - nom
46243,13,не,НЕ,PART,,PART,14,огранич,_,_,,,PART,НЕ,PART
46244,14,понял,ПОНЯТЬ,V pf praet sg indic m 1p,,V pf praet sg indic m -,8,сочин,_,_,,,V,ПОНЯТЬ,V pf praet sg indic m -
46245,15,",",",",",",,PUNC,14,PUNC,_,_,,,",",",",","
46246,16,что,ЧТО,CONJ,,CONJ,14,1-компл,_,_,,,CONJ,ЧТО,CONJ
46247,17,это,ЭТО,S n inan nom sg,,S n - nom sg,16,подч-союзн,_,_,,,S,ЭТО,S n - nom sg
46248,18,.,.,SENT,,SENT,17,PUNC,_,_,,,SENT,.,SENT
46249,,,,,,,,,,,,,,,
46250,1,Типа,ТИПА,PART,,S m inan gen sg,3,предик,_,_,,,S,ТИП,S m inan gen sg
46251,2,",",",",",",,PUNC,1,PUNC,_,_,,,",",",",","
46252,3,читает,ЧИТАТЬ,V ipf praes sg indic m 3p,,V ipf praes sg indic - 3p,0,ROOT,_,_,,,V,ЧИТАТЬ,V ipf praes sg indic - 3p
46253,4,сказки,СКАЗКА,S f inan acc pl,,S f inan acc pl,3,1-компл,_,_,,,S,СКАЗКА,S f inan acc pl
46254,5,",",",",",",,PUNC,4,PUNC,_,_,,,",",",",","
46255,6,там,ТАМ,PART,,ADV -,3,обст,_,_,,,ADV,ТАМ,ADV -
46256,7,",",",",",",,PUNC,6,PUNC,_,_,,,",",",",","
46257,8,ну,НУ,PART,,PART,9,огранич,_,_,,,PART,НУ,PART
46258,9,в,В,PR,,PR,3,обст,_,_,,,PR,В,PR
46259,10,общем,ОБЩИЙ,A - loc sg plen m -,,A - loc sg plen m -,9,предл,_,_,,,A,ОБЩИЙ,A - loc sg plen m -
46260,11,",",",",",",,PUNC,10,PUNC,_,_,,,",",",",","
46261,12,обращается,ОБРАЩАТЬСЯ,V ipf praes sg indic m 3p,,V ipf praes sg indic - 3p,3,сочин,_,_,,,V,ОБРАЩАТЬСЯ,V ipf praes sg indic - 3p
46262,13,как бы,как бы,ADVPRO,,-,14,огранич,_,_,,,ADV,как бы,ADV -
46263,14,как,КАК,CONJ,,ADV -,15,огранич,_,_,,,ADV,КАК,ADV -
46264,15,с,С,PR,,PR,12,2-компл,_,_,,,PR,С,PR
46265,16,<,<,<,,PUNC,15,предл,_,_,,,<,<,<
46266,17,distinct,DISTINCT,NONLEX,,NONLEX,16,аппоз,_,_,,,NONLEX,DISTINCT,NONLEX
46267,18,form,FORM,NONLEX,,NONLEX,17,аппоз,_,_,,,NONLEX,FORM,NONLEX
46268,19,#ERROR!,#ERROR!,#ERROR!,,PUNC,16,опред,_,_,,,#ERROR!,#ERROR!,#ERROR!
46269,20,	,_,PUNC,,21,PUNC,_,_,,,,_,_,PUNC
46270,21,сест,СЕСТРА,distort,,S m inan acc sg,19,1-компл,_,_,,,S,СЕСТ,S m inan acc sg
46271,22,	,_,PUNC,,21,PUNC,_,_,,,,_,_,PUNC
46272,23,>,>,>,,PUNC,24,опред,_,_,,,>,>,>
46273,24,сестрой,СЕСТРА,S f anim ins sg,,S f anim ins sg,19,агент,_,_,,,S,СЕСТРА,S f anim ins sg
46274,25,<,<,<,,PUNC,26,опред,_,_,,,<,<,<
46275,26,/,/,/,,PUNC,19,1-компл,_,_,,,/,/,/
46276,27,distinct,DISTINCT,NONLEX,,NONLEX,26,аппоз,_,_,,,NONLEX,DISTINCT,NONLEX
46277,28,>,>,>,,PUNC,12,1-компл,_,_,,,>,>,>
46278,29,...,...,SENT,,SENT,28,PUNC,_,_,,,SENT,...,SENT
46279,,,,,,,,,,,,,,,
46280,1,О,О,INTJ,,INTJ,0,ROOT,_,_,,,INTJ,О,INTJ
46281,2,!,!,SENT,,SENT,1,PUNC,_,_,,,SENT,!,SENT
46282,,,,,,,,,,,,,,,
46283,1,Проверяет,ПРОВЕРЯТЬ,V ipf praes sg indic m 3p,,V ipf praes sg indic - 3p,0,ROOT,_,_,,,V,ПРОВЕРЯТЬ,V ipf praes sg indic - 3p
46284,2,зрение,ЗРЕНИЕ,S n inan acc sg,,S n inan nom sg,1,предик,_,_,,,S,ЗРЕНИЕ,S n inan nom sg
46285,3,",",",",",",,PUNC,2,PUNC,_,_,,,",",",",","
46286,4,хотя,ХОТЯ,CONJ,,CONJ,1,обст,_,_,,,CONJ,ХОТЯ,CONJ
46287,5,это,ЭТО,S n inan nom sg,,S n - nom sg,6,предик,_,_,,,S,ЭТО,S n - nom sg
46288,6,странно,СТРАННЫЙ,ADV -,,A - - sg brev n -,4,подч-союзн,_,_,,,A,СТРАННЫЙ,A - - sg brev n -
46289,7,очень,ОЧЕНЬ,ADV -,,ADV -,6,обст,_,_,,,ADV,ОЧЕНЬ,ADV -
46290,8,.,.,SENT,,SENT,7,PUNC,_,_,,,SENT,.,SENT
46291,,,,,,,,,,,,,,,
46292,1,Или,ИЛИ,CONJ,,CONJ,0,ROOT,_,_,,,CONJ,ИЛИ,CONJ
46293,2,не,НЕ,PART,,PART,3,огранич,_,_,,,PART,НЕ,PART
46294,3,зрение,ЗРЕНИЕ,S n inan acc sg,,S n inan nom sg,1,соч-союзн,_,_,,,S,ЗРЕНИЕ,S n inan nom sg
46295,4,",",",",",",,PUNC,3,PUNC,_,_,,,",",",",","
46296,5,не,НЕ,PART,,PART,6,огранич,_,_,,,PART,НЕ,PART
46297,6,знаю,ЗНАТЬ,V ipf praes sg indic - 1p,,V ipf praes sg indic - 1p,3,сочин,_,_,,,V,ЗНАТЬ,V ipf praes sg indic - 1p
46298,7,",",",",",",,PUNC,6,PUNC,_,_,,,",",",",","
46299,8,читает,ЧИТАТЬ,V ipf praes sg indic m 3p,,V ipf praes sg indic - 3p,1,вводн,_,_,,,V,ЧИТАТЬ,V ipf praes sg indic - 3p
46300,9,",",",",",",,PUNC,8,PUNC,_,_,,,",",",",","
